"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"107";"2025-098";"LOG0005891";;;"UAB Stesika";"2025-06-16";"30";"2025-07-16";" ";"265";"EUR";"265";"265";"265";"0";"265";"0";"265 EUR 2025-07-14 "
"108";"2025-070";"LOG0005878";;;"UAB Stesika";"2025-04-28";"30";"2025-05-28";" ";"665,5";"EUR";"665,5";"550";"665,5";"0";"665,5";"0";"665.5 EUR 2025-05-23 "
"109";"2024-032";"LOG0005110";;;"UAB Stesika";"2024-01-30";"30";"2024-02-29";" ";"786,5";"EUR";"786,5";"650";"786,5";"0";"786,5";"0";"786.5 EUR 2024-02-29 "
"110";"2025-114";"LOG0005902";;;"UAB Stesika";"2025-07-04";"30";"2025-08-03";" ";"223,85";"EUR";"223,85";"185";"223,85";"0";"223,85";"0";"223.85 EUR 2025-07-30 "
"111";"2024-751";"LOG0005798";;;"UAB Stesika";"2024-12-02";"30";"2025-01-01";" ";"447,7";"EUR";"447,7";"370";"447,7";"0";"447,7";"0";"447.7 EUR 2024-12-31 "
"112";"2024-686";"LOG0005743";;;"UAB Stesika";"2024-11-13";"30";"2024-12-13";" ";"641,3";"EUR";"641,3";"530";"641,3";"0";"641,3";"0";"641.3 EUR 2024-12-10 "
"113";"2025-004";"LOG0005826";;;"UAB Stesika";"2025-01-20";"30";"2025-02-19";" ";"435,6";"EUR";"435,6";"360";"435,6";"0";"435,6";"0";"435.6 EUR 2025-02-17 "
"114";"2025-093";"LOG0005890";;;"UAB Stesika";"2025-06-11";"30";"2025-07-11";" ";"459,8";"EUR";"459,8";"380";"459,8";"0";"459,8";"0";"459.8 EUR 2025-07-07 "
"115";"2024-684";"LOG0005742";;;"UAB Stesika";"2024-11-13";"30";"2024-12-13";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-12-10 "
"116";"2024-491";"LOG0005550";;;"UAB Stesika";"2024-08-20";"30";"2024-09-19";" ";"1270,5";"EUR";"1270,5";"1050";"1270,5";"0";"1270,5";"0";"1270.5 EUR 2024-09-17 "
"117";"2024-655";"LOG0005703";;;"UAB Stesika";"2024-10-31";"30";"2024-11-30";" ";"496,1";"EUR";"496,1";"410";"496,1";"0";"496,1";"0";"496.1 EUR 2024-11-22 "
"118";"2024-541";"LOG0005594";;;"UAB Stesika";"2024-09-13";"30";"2024-10-13";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-10-07 "
"119";"2024-683";"LOG0005741";;;"UAB Stesika";"2024-11-11";"30";"2024-12-11";" ";"399,3";"EUR";"399,3";"330";"399,3";"0";"399,3";"0";"399.3 EUR 2024-12-09 "
"VISO:";"";"";"";"";"";"";"";"";"";"15148";"";"15148";"12565";"12352.9";"2795.1";"12352.9";"2795.1";""
"120";"2024-244";"LOG0005318";"MB Þali stogai";;"MB Þali stogai";"2024-04-30";"30";"2024-05-30";" ";"750,2";"EUR";"750,2";"620";"750,2";"0";"750,2";"0";"750.2 EUR 2024-05-29 "
"121";"2024-640";"LOG0005721";;;"MB Þali stogai";"2024-10-31";"30";"2024-11-30";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-11-07 "
